season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2015,1,Kentucky,Southeastern Conference,2706,38,1,39,0.974,38-1,Notre Dame,2403.1,1894.8,NA,2026-07-05T09:48:21Z
2015,2,Virginia,Atlantic Coast Conference,2509,30,4,34,0.882,30-4,Notre Dame,2403.1,1868.9,NA,2026-07-05T09:48:21Z
2015,3,Duke,Atlantic Coast Conference,2498.7,35,4,39,0.897,35-4,Virginia,2509,1952.9,NA,2026-07-05T09:48:21Z
2015,4,Wisconsin,Big Ten Conference,2492.9,36,4,40,0.9,36-4,Kentucky,2706,1939.8,NA,2026-07-05T09:48:21Z
2015,5,Arizona,Pac-12 Conference,2448.9,34,4,38,0.895,34-4,Gonzaga,2410.6,1861.6,NA,2026-07-05T09:48:21Z
2015,6,Villanova,Big East Conference,2426.5,33,3,36,0.917,33-3,VCU,2147.5,1853.8,NA,2026-07-05T09:48:21Z
2015,7,Gonzaga,West Coast Conference,2410.6,35,3,38,0.921,35-3,St John's,2082.7,1722.8,NA,2026-07-05T09:48:21Z
2015,8,Notre Dame,Atlantic Coast Conference,2403.1,32,6,38,0.842,32-6,Duke,2498.7,1830.2,NA,2026-07-05T09:48:21Z
2015,9,Louisville,Atlantic Coast Conference,2304.9,27,9,36,0.75,27-9,Virginia,2509,1905.2,NA,2026-07-05T09:48:21Z
2015,10,Kansas,Big 12 Conference,2301.5,27,9,36,0.75,27-9,Iowa State,2241.5,2017.7,NA,2026-07-05T09:48:21Z
2015,11,Northern Iowa,Missouri Valley Conference,2266.1,31,4,35,0.886,31-4,Wichita St,2250.7,1671.8,NA,2026-07-05T09:48:21Z
2015,12,Wichita St,Missouri Valley Conference,2250.7,30,5,35,0.857,30-5,Kansas,2301.5,1697.6,NA,2026-07-05T09:48:21Z
2015,13,Iowa State,Big 12 Conference,2241.5,25,9,34,0.735,25-9,Kansas,2301.5,1917.5,NA,2026-07-05T09:48:21Z
2015,14,Maryland,Big Ten Conference,2229.7,28,7,35,0.8,28-7,Wisconsin,2492.9,1847.3,NA,2026-07-05T09:48:21Z
2015,15,North Carolina,Atlantic Coast Conference,2220,26,12,38,0.684,26-12,Virginia,2509,2007.6,NA,2026-07-05T09:48:21Z
2015,16,Oklahoma,Big 12 Conference,2207.4,24,11,35,0.686,24-11,Kansas,2301.5,1947.7,NA,2026-07-05T09:48:21Z
2015,17,Baylor,Big 12 Conference,2200.3,24,10,34,0.706,24-10,Iowa State,2241.5,1894.3,NA,2026-07-05T09:48:21Z
2015,18,Utah,Pac-12 Conference,2194.4,26,9,35,0.743,26-9,Wichita St,2250.7,1825.4,NA,2026-07-05T09:48:21Z
2015,19,West Virginia,Big 12 Conference,2191.1,25,10,35,0.714,25-10,Kansas,2301.5,1922.5,NA,2026-07-05T09:48:21Z
2015,20,Michigan St,Big Ten Conference,2158.2,27,12,39,0.692,27-12,Virginia,2509,1955.8,NA,2026-07-05T09:48:21Z
2015,21,VCU,Atlantic 10 Conference,2147.5,26,10,36,0.722,26-10,Northern Iowa,2266.1,1817.9,NA,2026-07-05T09:48:21Z
2015,22,Arkansas,Southeastern Conference,2136.1,27,9,36,0.75,27-9,SMU,2059.6,1839.1,NA,2026-07-05T09:48:21Z
2015,23,Butler,Big East Conference,2124.8,23,11,34,0.676,23-11,North Carolina,2220,1899.9,NA,2026-07-05T09:48:21Z
2015,24,Xavier,Big East Conference,2120.1,23,14,37,0.622,23-14,Butler,2124.8,1933.2,NA,2026-07-05T09:48:21Z
2015,25,Texas,Big 12 Conference,2117.2,20,14,34,0.588,20-14,Baylor,2200.3,1922,NA,2026-07-05T09:48:21Z
2015,26,Ohio State,Big Ten Conference,2112.8,24,11,35,0.686,24-11,Maryland,2229.7,1848.2,NA,2026-07-05T09:48:21Z
2015,27,Georgetown,Big East Conference,2096.7,22,11,33,0.667,22-11,Villanova,2426.5,1937.2,NA,2026-07-05T09:48:21Z
2015,28,Indiana,Big Ten Conference,2094.4,20,14,34,0.588,20-14,Maryland,2229.7,1844.7,NA,2026-07-05T09:48:21Z
2015,29,St John's,Big East Conference,2082.7,21,12,33,0.636,21-12,Xavier,2120.1,1867.3,NA,2026-07-05T09:48:21Z
2015,30,NC State,Atlantic Coast Conference,2077,22,14,36,0.611,22-14,Duke,2498.7,1941,NA,2026-07-05T09:48:21Z
2015,31,Iowa,Big Ten Conference,2066,22,12,34,0.647,22-12,Maryland,2229.7,1861.3,NA,2026-07-05T09:48:21Z
2015,32,Oklahoma St,Big 12 Conference,2065.9,18,14,32,0.562,18-14,Kansas,2301.5,1877.6,NA,2026-07-05T09:48:21Z
2015,33,SMU,American Athletic Conference,2059.6,27,7,34,0.794,27-7,Temple,1958.9,1699.7,NA,2026-07-05T09:48:21Z
2015,34,San Diego St,Mountain West Conference,2052.4,27,9,36,0.75,27-9,Utah,2194.4,1721.4,NA,2026-07-05T09:48:21Z
2015,35,Providence,Big East Conference,2049.2,22,12,34,0.647,22-12,Notre Dame,2403.1,1927.7,NA,2026-07-05T09:48:21Z
2015,36,Stanford,Pac-12 Conference,2034.9,24,13,37,0.649,24-13,Texas,2117.2,1851.9,NA,2026-07-05T09:48:21Z
2015,37,Dayton,Atlantic 10 Conference,2014.9,27,9,36,0.75,27-9,VCU,2147.5,1735.9,NA,2026-07-05T09:48:21Z
2015,38,Cincinnati,American Athletic Conference,2013.8,23,11,34,0.676,23-11,NC State,2077,1763.3,NA,2026-07-05T09:48:21Z
2015,39,Georgia,Southeastern Conference,2008.9,21,12,33,0.636,21-12,Ole Miss,1996.5,1894.2,NA,2026-07-05T09:48:21Z
2015,40,Davidson,Atlantic 10 Conference,2008.2,24,8,32,0.75,24-8,VCU,2147.5,1662.2,NA,2026-07-05T09:48:21Z
2015,41,Oregon,Pac-12 Conference,2002.7,26,10,36,0.722,26-10,Utah,2194.4,1833.8,NA,2026-07-05T09:48:21Z
2015,42,Ole Miss,Southeastern Conference,1996.5,21,13,34,0.618,21-13,Arkansas,2136.1,1826.7,NA,2026-07-05T09:48:21Z
2015,43,Alabama,Southeastern Conference,1995,19,15,34,0.559,19-15,UCLA,1979.6,1814.5,NA,2026-07-05T09:48:21Z
2015,44,LSU,Southeastern Conference,1986.7,22,11,33,0.667,22-11,West Virginia,2191.1,1795.8,NA,2026-07-05T09:48:21Z
2015,45,Miami,Atlantic Coast Conference,1981.8,25,13,38,0.658,25-13,Duke,2498.7,1839.1,NA,2026-07-05T09:48:21Z
2015,46,UCLA,Pac-12 Conference,1979.6,22,14,36,0.611,22-14,Utah,2194.4,1892.3,NA,2026-07-05T09:48:21Z
2015,47,BYU,West Coast Conference,1970.4,25,10,35,0.714,25-10,Gonzaga,2410.6,1699.8,NA,2026-07-05T09:48:21Z
2015,48,TCU,Big 12 Conference,1961.7,18,15,33,0.545,18-15,Oklahoma St,2065.9,1781.3,NA,2026-07-05T09:48:21Z
2015,49,Temple,American Athletic Conference,1958.9,26,11,37,0.703,26-11,Kansas,2301.5,1726.9,NA,2026-07-05T09:48:21Z
2015,50,Illinois,Big Ten Conference,1953.7,19,14,33,0.576,19-14,Maryland,2229.7,1827.4,NA,2026-07-05T09:48:21Z
2015,51,Texas A&M,Southeastern Conference,1951.5,21,12,33,0.636,21-12,LSU,1986.7,1794.4,NA,2026-07-05T09:48:21Z
2015,52,Colorado St,Mountain West Conference,1949.6,27,7,34,0.794,27-7,San Diego St,2052.4,1567.3,NA,2026-07-05T09:48:21Z
2015,53,Purdue,Big Ten Conference,1946.9,21,13,34,0.618,21-13,Ohio State,2112.8,1845.5,NA,2026-07-05T09:48:21Z
2015,54,Florida,Southeastern Conference,1946.8,16,17,33,0.485,16-17,Arkansas,2136.1,1932.2,NA,2026-07-05T09:48:21Z
2015,55,Seton Hall,Big East Conference,1946.5,16,15,31,0.516,16-15,Villanova,2426.5,1849.2,NA,2026-07-05T09:48:21Z
2015,56,Minnesota,Big Ten Conference,1945.2,18,15,33,0.545,18-15,Michigan St,2158.2,1793,NA,2026-07-05T09:48:21Z
2015,57,SF Austin,Southland Conference,1941.4,29,5,34,0.853,29-5,Memphis,1793.1,1367.4,NA,2026-07-05T09:48:21Z
2015,58,Michigan,Big Ten Conference,1936.5,16,16,32,0.5,16-16,Ohio State,2112.8,1852.2,NA,2026-07-05T09:48:21Z
2015,59,Boise St,Mountain West Conference,1934.1,25,9,34,0.735,25-9,San Diego St,2052.4,1589.4,NA,2026-07-05T09:48:21Z
2015,60,Rhode Island,Atlantic 10 Conference,1931.7,23,10,33,0.697,23-10,Richmond,1861.4,1665,NA,2026-07-05T09:48:21Z
2015,61,South Carolina,Southeastern Conference,1929.7,17,16,33,0.515,17-16,Iowa State,2241.5,1833.8,NA,2026-07-05T09:48:21Z
2015,62,Old Dominion,Conference USA,1927.1,27,8,35,0.771,27-8,VCU,2147.5,1585.5,NA,2026-07-05T09:48:21Z
2015,63,Saint Mary's,West Coast Conference,1917.3,21,10,31,0.677,21-10,BYU,1970.4,1650.4,NA,2026-07-05T09:48:21Z
2015,64,Vanderbilt,Southeastern Conference,1914.4,21,14,35,0.6,21-14,Ole Miss,1996.5,1776.5,NA,2026-07-05T09:48:21Z
2015,65,UConn,American Athletic Conference,1914.1,20,15,35,0.571,20-15,SMU,2059.6,1752.4,NA,2026-07-05T09:48:21Z
2015,66,Wyoming,Mountain West Conference,1908,25,10,35,0.714,25-10,San Diego St,2052.4,1531.7,NA,2026-07-05T09:48:21Z
2015,67,Syracuse,Atlantic Coast Conference,1906,18,13,31,0.581,18-13,Notre Dame,2403.1,1876.5,NA,2026-07-05T09:48:21Z
2015,68,Pitt,Atlantic Coast Conference,1888.6,19,15,34,0.559,19-15,Notre Dame,2403.1,1825.2,NA,2026-07-05T09:48:21Z
2015,69,Illinois St,Missouri Valley Conference,1888.2,22,13,35,0.629,22-13,Wichita St,2250.7,1693.7,NA,2026-07-05T09:48:21Z
2015,70,Georgia Tech,Atlantic Coast Conference,1886.1,12,19,31,0.387,12-19,Georgia,2008.9,1881.6,NA,2026-07-05T09:48:21Z
2015,71,California,Pac-12 Conference,1885.7,18,15,33,0.545,18-15,UCLA,1979.6,1800.1,NA,2026-07-05T09:48:21Z
2015,72,Tennessee,Southeastern Conference,1884.4,16,16,32,0.5,16-16,Arkansas,2136.1,1872.5,NA,2026-07-05T09:48:21Z
2015,73,Washington,Pac-12 Conference,1883.3,16,15,31,0.516,16-15,Oklahoma,2207.4,1770.2,NA,2026-07-05T09:48:21Z
2015,74,Valparaiso,Horizon League,1882.7,28,6,34,0.824,28-6,Murray St,1862.4,1418.5,NA,2026-07-05T09:48:21Z
2015,75,Arizona St,Pac-12 Conference,1881.4,18,16,34,0.529,18-16,Arizona,2448.9,1831.9,NA,2026-07-05T09:48:21Z
2015,76,Clemson,Atlantic Coast Conference,1879.7,16,15,31,0.516,16-15,Arkansas,2136.1,1849,NA,2026-07-05T09:48:21Z
2015,77,Murray St,Ohio Valley Conference,1862.4,29,6,35,0.829,29-6,Illinois St,1888.2,1429.4,NA,2026-07-05T09:48:21Z
2015,78,Richmond,Atlantic 10 Conference,1861.4,21,14,35,0.6,21-14,VCU,2147.5,1746.2,NA,2026-07-05T09:48:21Z
2015,79,G Washington,Atlantic 10 Conference,1860.9,22,13,35,0.629,22-13,Wichita St,2250.7,1697.3,NA,2026-07-05T09:48:21Z
2015,80,Kansas St,Big 12 Conference,1857,15,17,32,0.469,15-17,Kansas,2301.5,1918.1,NA,2026-07-05T09:48:21Z
2015,81,Tulsa,American Athletic Conference,1852.2,23,11,34,0.676,23-11,Temple,1958.9,1675.9,NA,2026-07-05T09:48:21Z
2015,82,Green Bay,Horizon League,1847.1,24,9,33,0.727,24-9,Miami,1981.8,1499.4,NA,2026-07-05T09:48:21Z
2015,83,Oregon St,Pac-12 Conference,1845.4,17,14,31,0.548,17-14,Arizona,2448.9,1707.3,NA,2026-07-05T09:48:21Z
2015,84,Wofford,Southern Conference,1844.3,28,7,35,0.8,28-7,NC State,2077,1440.6,NA,2026-07-05T09:48:21Z
2015,85,Colorado,Pac-12 Conference,1844,16,18,34,0.471,16-18,Stanford,2034.9,1810.4,NA,2026-07-05T09:48:21Z
2015,86,Creighton,Big East Conference,1843.7,14,19,33,0.424,14-19,Oklahoma,2207.4,1837.9,NA,2026-07-05T09:48:21Z
2015,87,Penn State,Big Ten Conference,1834.1,18,16,34,0.529,18-16,Iowa,2066,1813.1,NA,2026-07-05T09:48:21Z
